

lambda(m), Y
1.5e-06, -0.0169446
1.44175e-06, -0.00793323
1.38785e-06, -0.00421488
1.33784e-06, -0.00728004
1.2913e-06, -0.0168143
1.2479e-06, -0.0307423
1.20732e-06, -0.0458563
1.16929e-06, -0.0586978
1.13359e-06, -0.0663379
1.1e-06, -0.0668971
1.06835e-06, -0.0598655
1.03846e-06, -0.0463441
1.0102e-06, -0.029211
9.83444e-07, -0.0129992
9.58065e-07, -0.0031161
9.33962e-07, -0.00424044
9.11043e-07, -0.0184013
8.89222e-07, -0.0438526
8.68421e-07, -0.0755371
8.48571e-07, -0.106779
8.29609e-07, -0.131075
8.11475e-07, -0.143194
7.94118e-07, -0.139614
7.77487e-07, -0.118945
7.61538e-07, -0.0831788
7.46231e-07, -0.0404315
7.31527e-07, -0.00829261
7.17391e-07, -0.012583
7.03791e-07, -0.0740231
6.90698e-07, -0.189158
6.78082e-07, -0.329882
6.65919e-07, -0.464917
6.54185e-07, -0.576711
6.42857e-07, -0.66168
6.31915e-07, -0.723367
6.21339e-07, -0.767097
6.11111e-07, -0.797627
6.01215e-07, -0.818543
5.91633e-07, -0.832343
5.82353e-07, -0.840669
5.73359e-07, -0.844504
5.64639e-07, -0.844309
5.5618e-07, -0.8401
5.4797e-07, -0.831466
5.4e-07, -0.817532
5.32258e-07, -0.796874
5.24735e-07, -0.767372
5.17422e-07, -0.726058
5.10309e-07, -0.6691
5.0339e-07, -0.592262
4.96656e-07, -0.492558
4.90099e-07, -0.371834
4.83713e-07, -0.241527
4.77492e-07, -0.12363
4.71429e-07, -0.0414866
4.65517e-07, -0.00493783
4.59752e-07, -0.0055205
4.54128e-07, -0.0256328
4.4864e-07, -0.0494589
4.43284e-07, -0.0673701
4.38053e-07, -0.0753471
4.32945e-07, -0.0730974
4.27954e-07, -0.0625596
4.23077e-07, -0.0469442
4.1831e-07, -0.0299909
4.13649e-07, -0.0151973
4.09091e-07, -0.00504612
4.04632e-07, -0.000483109
4.0027e-07, -0.000894546
3.96e-07, -0.0045808
3.91821e-07, -0.00946692
3.87728e-07, -0.0137369
3.83721e-07, -0.0162123
3.79795e-07, -0.0164585
3.75949e-07, -0.0146913
3.7218e-07, -0.0115698
3.68486e-07, -0.00794299
3.64865e-07, -0.00460409
3.61314e-07, -0.002101
3.57831e-07, -0.000643832
3.54415e-07, -0.000124629
3.51064e-07, -0.000230838
3.47775e-07, -0.000594109
3.44548e-07, -0.000923631
3.41379e-07, -0.00108109
3.38269e-07, -0.00108296
3.35214e-07, -0.0010399
3.32215e-07, -0.00106277
3.29268e-07, -0.00117655
3.26374e-07, -0.00128862
3.23529e-07, -0.00124753
3.20734e-07, -0.00100757
3.17987e-07, -0.000880909
3.15287e-07, -0.00183046
3.12632e-07, -0.00571224
3.10021e-07, -0.0152865
3.07453e-07, -0.0338069
3.04928e-07, -0.0640839
3.02444e-07, -0.107244
3e-07, -0.161867


