

lambda(m), Y
1.5e-06, -0.0347986
1.44175e-06, -0.0291567
1.38785e-06, -0.0234707
1.33784e-06, -0.0179607
1.2913e-06, -0.0128508
1.2479e-06, -0.00836861
1.20732e-06, -0.00474376
1.16929e-06, -0.00220339
1.13359e-06, -0.000965657
1.1e-06, -0.00123103
1.06835e-06, -0.00317258
1.03846e-06, -0.00692642
1.0102e-06, -0.0125832
9.83444e-07, -0.0201817
9.58065e-07, -0.029705
9.33962e-07, -0.0410789
9.11043e-07, -0.0541745
8.89222e-07, -0.0688117
8.68421e-07, -0.084766
8.48571e-07, -0.101778
8.29609e-07, -0.119562
8.11475e-07, -0.137818
7.94118e-07, -0.156247
7.77487e-07, -0.174555
7.61538e-07, -0.192473
7.46231e-07, -0.209757
7.31527e-07, -0.2262
7.17391e-07, -0.241629
7.03791e-07, -0.255912
6.90698e-07, -0.268947
6.78082e-07, -0.280665
6.65919e-07, -0.29102
6.54185e-07, -0.29999
6.42857e-07, -0.307568
6.31915e-07, -0.313758
6.21339e-07, -0.318577
6.11111e-07, -0.322049
6.01215e-07, -0.324202
5.91633e-07, -0.325064
5.82353e-07, -0.324664
5.73359e-07, -0.32303
5.64639e-07, -0.320181
5.5618e-07, -0.316135
5.4797e-07, -0.310905
5.4e-07, -0.304499
5.32258e-07, -0.296928
5.24735e-07, -0.288203
5.17422e-07, -0.278341
5.10309e-07, -0.267368
5.0339e-07, -0.255325
4.96656e-07, -0.242269
4.90099e-07, -0.22828
4.83713e-07, -0.213463
4.77492e-07, -0.19795
4.71429e-07, -0.181903
4.65517e-07, -0.165507
4.59752e-07, -0.148971
4.54128e-07, -0.132514
4.4864e-07, -0.116363
4.43284e-07, -0.100742
4.38053e-07, -0.0858658
4.32945e-07, -0.0719287
4.27954e-07, -0.0591012
4.23077e-07, -0.0475213
4.1831e-07, -0.0372883
4.13649e-07, -0.0284565
4.09091e-07, -0.0210322
4.04632e-07, -0.0149727
4.0027e-07, -0.0101902
3.96e-07, -0.00655959
3.91821e-07, -0.00392869
3.87728e-07, -0.00213093
3.83721e-07, -0.000997245
3.79795e-07, -0.000366416
3.75949e-07, -9.24572e-05
3.7218e-07, -4.94914e-05
3.68486e-07, -0.000134122
3.64865e-07, -0.000264807
3.61314e-07, -0.000381871
3.57831e-07, -0.000446706
3.54415e-07, -0.000440541
3.51064e-07, -0.000364987
3.47775e-07, -0.000240848
3.44548e-07, -0.000106107
3.41379e-07, -1.55366e-05
3.38269e-07, -3.49565e-05
3.35214e-07, -0.000238043
3.32215e-07, -0.000700799
3.29268e-07, -0.00149849
3.26374e-07, -0.00270165
3.23529e-07, -0.00437583
3.20734e-07, -0.00658171
3.17987e-07, -0.00937836
3.15287e-07, -0.0128221
3.12632e-07, -0.0169703
3.10021e-07, -0.0218772
3.07453e-07, -0.0275873
3.04928e-07, -0.0341313
3.02444e-07, -0.041503
3e-07, -0.0496653


