

lambda(m), Y
1.5e-06, -0.0546321
1.44175e-06, -0.0554098
1.38785e-06, -0.0523167
1.33784e-06, -0.0455971
1.2913e-06, -0.0360725
1.2479e-06, -0.0250985
1.20732e-06, -0.0144531
1.16929e-06, -0.00612253
1.13359e-06, -0.00197124
1.1e-06, -0.00334665
1.06835e-06, -0.0107294
1.03846e-06, -0.0235613
1.0102e-06, -0.0403245
9.83444e-07, -0.0588354
9.58065e-07, -0.0766336
9.33962e-07, -0.0913386
9.11043e-07, -0.100903
8.89222e-07, -0.103771
8.68421e-07, -0.0990096
8.48571e-07, -0.0864922
8.29609e-07, -0.0672077
8.11475e-07, -0.0437206
7.94118e-07, -0.0206548
7.77487e-07, -0.00482629
7.61538e-07, -0.00439186
7.46231e-07, -0.0265501
7.31527e-07, -0.0743983
7.17391e-07, -0.144919
7.03791e-07, -0.22989
6.90698e-07, -0.319231
6.78082e-07, -0.404414
6.65919e-07, -0.480116
6.54185e-07, -0.54411
6.42857e-07, -0.596297
6.31915e-07, -0.637705
6.21339e-07, -0.669777
6.11111e-07, -0.693962
6.01215e-07, -0.711528
5.91633e-07, -0.723487
5.82353e-07, -0.730578
5.73359e-07, -0.733276
5.64639e-07, -0.731806
5.5618e-07, -0.726161
5.4797e-07, -0.716109
5.4e-07, -0.701197
5.32258e-07, -0.680753
5.24735e-07, -0.653891
5.17422e-07, -0.619556
5.10309e-07, -0.576615
5.0339e-07, -0.524083
4.96656e-07, -0.461508
4.90099e-07, -0.389568
4.83713e-07, -0.310748
4.77492e-07, -0.229792
4.71429e-07, -0.153377
4.65517e-07, -0.0886684
4.59752e-07, -0.0411066
4.54128e-07, -0.0126048
4.4864e-07, -0.00124752
4.43284e-07, -0.00250681
4.38053e-07, -0.0110357
4.32945e-07, -0.0220837
4.27954e-07, -0.0321807
4.23077e-07, -0.0392337
4.1831e-07, -0.0423279
4.13649e-07, -0.0414461
4.09091e-07, -0.0372046
4.04632e-07, -0.0306223
4.0027e-07, -0.0229106
3.96e-07, -0.015266
3.91821e-07, -0.00872
3.87728e-07, -0.00390619
3.83721e-07, -0.00111081
3.79795e-07, -0.000194033
3.75949e-07, -0.000721233
3.7218e-07, -0.00209607
3.68486e-07, -0.0037081
3.64865e-07, -0.00505832
3.61314e-07, -0.00582217
3.57831e-07, -0.00588879
3.54415e-07, -0.00532932
3.51064e-07, -0.00434911
3.47775e-07, -0.00321566
3.44548e-07, -0.0021826
3.41379e-07, -0.00142744
3.38269e-07, -0.00101405
3.35214e-07, -0.000891624
3.32215e-07, -0.000931064
3.29268e-07, -0.000993857
3.26374e-07, -0.0010205
3.23529e-07, -0.00112761
3.20734e-07, -0.00169196
3.17987e-07, -0.00340968
3.15287e-07, -0.00730118
3.12632e-07, -0.0146371
3.10021e-07, -0.026768
3.07453e-07, -0.0448545
3.04928e-07, -0.0695585
3.02444e-07, -0.100791
3e-07, -0.137615


