

lambda(m), Y
1.5e-06, -0.00980798
1.44175e-06, -0.0151135
1.38785e-06, -0.0224054
1.33784e-06, -0.0310318
1.2913e-06, -0.0402474
1.2479e-06, -0.0492897
1.20732e-06, -0.0574383
1.16929e-06, -0.0640536
1.13359e-06, -0.0686006
1.1e-06, -0.0706653
1.06835e-06, -0.0699717
1.03846e-06, -0.0664048
1.0102e-06, -0.0600433
9.83444e-07, -0.0512003
9.58065e-07, -0.0404698
9.33962e-07, -0.0287696
9.11043e-07, -0.0173623
8.89222e-07, -0.0078335
8.68421e-07, -0.00199938
8.48571e-07, -0.00172649
8.29609e-07, -0.00867111
8.11475e-07, -0.023982
7.94118e-07, -0.0480447
7.77487e-07, -0.0803554
7.61538e-07, -0.119576
7.46231e-07, -0.163763
7.31527e-07, -0.210693
7.17391e-07, -0.258194
7.03791e-07, -0.304389
6.90698e-07, -0.347838
6.78082e-07, -0.387559
6.65919e-07, -0.422984
6.54185e-07, -0.453876
6.42857e-07, -0.480234
6.31915e-07, -0.50221
6.21339e-07, -0.52004
6.11111e-07, -0.533987
6.01215e-07, -0.544305
5.91633e-07, -0.551213
5.82353e-07, -0.554877
5.73359e-07, -0.555405
5.64639e-07, -0.552839
5.5618e-07, -0.547167
5.4797e-07, -0.538321
5.4e-07, -0.526191
5.32258e-07, -0.510637
5.24735e-07, -0.491506
5.17422e-07, -0.468654
5.10309e-07, -0.44198
5.0339e-07, -0.41147
4.96656e-07, -0.377253
4.90099e-07, -0.339667
4.83713e-07, -0.299315
4.77492e-07, -0.25711
4.71429e-07, -0.214265
4.65517e-07, -0.172237
4.59752e-07, -0.132591
4.54128e-07, -0.096827
4.4864e-07, -0.0661833
4.43284e-07, -0.0414708
4.38053e-07, -0.0229774
4.32945e-07, -0.0104627
4.27954e-07, -0.00324116
4.23077e-07, -0.000322506
4.1831e-07, -0.000574745
4.13649e-07, -0.00287187
4.09091e-07, -0.0062054
4.04632e-07, -0.00975241
4.0027e-07, -0.0129044
3.96e-07, -0.0152672
3.91821e-07, -0.016641
3.87728e-07, -0.0169894
3.83721e-07, -0.0164025
3.79795e-07, -0.0150576
3.75949e-07, -0.0131807
3.7218e-07, -0.0110116
3.68486e-07, -0.00877496
3.64865e-07, -0.0066581
3.61314e-07, -0.00479715
3.57831e-07, -0.00327202
3.54415e-07, -0.0021054
3.51064e-07, -0.00128264
3.47775e-07, -0.000748034
3.44548e-07, -0.000436615
3.41379e-07, -0.000284643
3.38269e-07, -0.000247744
3.35214e-07, -0.000317649
3.32215e-07, -0.000537231
3.29268e-07, -0.00101285
3.26374e-07, -0.00192174
3.23529e-07, -0.00351731
3.20734e-07, -0.00611619
3.17987e-07, -0.0100831
3.15287e-07, -0.0157931
3.12632e-07, -0.0235948
3.10021e-07, -0.0337529
3.07453e-07, -0.046406
3.04928e-07, -0.0615341
3.02444e-07, -0.0789403
3e-07, -0.0982448


