

lambda(m), Y
1.5e-06, -0.688967
1.44175e-06, -0.732929
1.38785e-06, -0.744221
1.33784e-06, -0.749692
1.2913e-06, -0.811782
1.2479e-06, -0.766282
1.20732e-06, -0.812944
1.16929e-06, -0.772372
1.13359e-06, -0.81061
1.1e-06, -0.777968
1.06835e-06, -0.807894
1.03846e-06, -0.807681
1.0102e-06, -0.677872
9.83444e-07, -0.357204
9.58065e-07, -0.0241241
9.33962e-07, -0.00374102
9.11043e-07, -0.0706685
8.89222e-07, -0.0392963
8.68421e-07, -0.0205777
8.48571e-07, -0.358318
8.29609e-07, -0.231844
8.11475e-07, -0.0924609
7.94118e-07, -0.346878
7.77487e-07, -0.422895
7.61538e-07, -0.565117
7.46231e-07, -0.693512
7.31527e-07, -0.791313
7.17391e-07, -0.80234
7.03791e-07, -0.833111
6.90698e-07, -0.834017
6.78082e-07, -0.837883
6.65919e-07, -0.851368
6.54185e-07, -0.82927
6.42857e-07, -0.840995
6.31915e-07, -0.836768
6.21339e-07, -0.839005
6.11111e-07, -0.842969
6.01215e-07, -0.846572
5.91633e-07, -0.852464
5.82353e-07, -0.855489
5.73359e-07, -0.860265
5.64639e-07, -0.8667
5.5618e-07, -0.867273
5.4797e-07, -0.87128
5.4e-07, -0.873668
5.32258e-07, -0.87247
5.24735e-07, -0.871403
5.17422e-07, -0.854834
5.10309e-07, -0.859865
5.0339e-07, -0.317643
4.96656e-07, -0.284399
4.90099e-07, -0.101935
4.83713e-07, -0.0498146
4.77492e-07, -0.0074112
4.71429e-07, -0.00986989
4.65517e-07, -0.0336349
4.59752e-07, -0.182278
4.54128e-07, -0.223783
4.4864e-07, -0.360089
4.43284e-07, -0.714941
4.38053e-07, -0.792801
4.32945e-07, -0.844952
4.27954e-07, -0.846695
4.23077e-07, -0.860319
4.1831e-07, -0.865186
4.13649e-07, -0.87251
4.09091e-07, -0.874776
4.04632e-07, -0.86963
4.0027e-07, -0.873943
3.96e-07, -0.87765
3.91821e-07, -0.873732
3.87728e-07, -0.870409
3.83721e-07, -0.872726
3.79795e-07, -0.868378
3.75949e-07, -0.860405
3.7218e-07, -0.861144
3.68486e-07, -0.858835
3.64865e-07, -0.852546
3.61314e-07, -0.854671
3.57831e-07, -0.860824
3.54415e-07, -0.86107
3.51064e-07, -0.307429
3.47775e-07, -0.66421
3.44548e-07, -0.308561
3.41379e-07, -0.21974
3.38269e-07, -0.171904
3.35214e-07, -0.275071
3.32215e-07, -0.0939773
3.29268e-07, -0.0853521
3.26374e-07, -0.0592589
3.23529e-07, -0.0200417
3.20734e-07, -0.35965
3.17987e-07, -0.597024
3.15287e-07, -0.742285
3.12632e-07, -0.83443
3.10021e-07, -0.846894
3.07453e-07, -0.926528
3.04928e-07, -0.867065
3.02444e-07, -0.852441
3e-07, -0.863021


