

lambda(m), Y
1.5e-06, -0.838291
1.44175e-06, -0.857692
1.38785e-06, -0.882884
1.33784e-06, -0.895845
1.2913e-06, -0.907734
1.2479e-06, -0.91088
1.20732e-06, -0.918206
1.16929e-06, -0.924258
1.13359e-06, -0.930696
1.1e-06, -0.941061
1.06835e-06, -0.953971
1.03846e-06, -0.918547
1.0102e-06, -0.919161
9.83444e-07, -0.264493
9.58065e-07, -0.0203596
9.33962e-07, -0.0109761
9.11043e-07, -0.0383059
8.89222e-07, -0.0380192
8.68421e-07, -0.0341838
8.48571e-07, -0.38055
8.29609e-07, -0.300453
8.11475e-07, -0.121038
7.94118e-07, -0.501289
7.77487e-07, -0.653182
7.61538e-07, -0.473381
7.46231e-07, -0.833209
7.31527e-07, -0.921601
7.17391e-07, -0.95949
7.03791e-07, -0.971291
6.90698e-07, -0.97275
6.78082e-07, -0.972455
6.65919e-07, -0.971021
6.54185e-07, -0.975059
6.42857e-07, -0.981294
6.31915e-07, -0.987982
6.21339e-07, -0.991607
6.11111e-07, -0.994172
6.01215e-07, -0.995216
5.91633e-07, -0.991253
5.82353e-07, -0.985159
5.73359e-07, -0.982501
5.64639e-07, -0.981282
5.5618e-07, -0.979913
5.4797e-07, -0.983734
5.4e-07, -0.991858
5.32258e-07, -0.995192
5.24735e-07, -0.996358
5.17422e-07, -0.980507
5.10309e-07, -0.951993
5.0339e-07, -0.268505
4.96656e-07, -0.192908
4.90099e-07, -0.0915718
4.83713e-07, -0.0229353
4.77492e-07, -0.0137225
4.71429e-07, -0.00752382
4.65517e-07, -0.0933779
4.59752e-07, -0.212728
4.54128e-07, -0.147043
4.4864e-07, -0.830595
4.43284e-07, -0.942901
4.38053e-07, -0.972437
4.32945e-07, -0.988399
4.27954e-07, -0.995751
4.23077e-07, -0.990454
4.1831e-07, -0.979135
4.13649e-07, -0.981538
4.09091e-07, -0.98353
4.04632e-07, -0.980793
4.0027e-07, -0.988814
3.96e-07, -1.00155
3.91821e-07, -1.00047
3.87728e-07, -0.998328
3.83721e-07, -1.00294
3.79795e-07, -0.993944
3.75949e-07, -0.979557
3.7218e-07, -0.981129
3.68486e-07, -0.981813
3.64865e-07, -0.977961
3.61314e-07, -0.991124
3.57831e-07, -0.993083
3.54415e-07, -0.977124
3.51064e-07, -0.720938
3.47775e-07, -0.393123
3.44548e-07, -0.439119
3.41379e-07, -0.308456
3.38269e-07, -0.309109
3.35214e-07, -0.22321
3.32215e-07, -0.0665121
3.29268e-07, -0.0672
3.26374e-07, -0.0221479
3.23529e-07, -0.0596728
3.20734e-07, -0.658266
3.17987e-07, -0.703164
3.15287e-07, -0.908514
3.12632e-07, -0.968838
3.10021e-07, -0.990557
3.07453e-07, -0.997585
3.04928e-07, -0.970405
3.02444e-07, -0.966874
3e-07, -0.972313


