

lambda(m), Y
1.5e-06, -0.757177
1.44175e-06, -0.797116
1.38785e-06, -0.781441
1.33784e-06, -0.809295
1.2913e-06, -0.822662
1.2479e-06, -0.830951
1.20732e-06, -0.847565
1.16929e-06, -0.856964
1.13359e-06, -0.877291
1.1e-06, -0.886355
1.06835e-06, -0.898121
1.03846e-06, -0.870398
1.0102e-06, -0.826809
9.83444e-07, -0.290469
9.58065e-07, -0.043961
9.33962e-07, -0.00376874
9.11043e-07, -0.0686749
8.89222e-07, -0.032084
8.68421e-07, -0.0798794
8.48571e-07, -0.184759
8.29609e-07, -0.360606
8.11475e-07, -0.175921
7.94118e-07, -0.357115
7.77487e-07, -0.67488
7.61538e-07, -0.438259
7.46231e-07, -0.777201
7.31527e-07, -0.829471
7.17391e-07, -0.890123
7.03791e-07, -0.890998
6.90698e-07, -0.923248
6.78082e-07, -0.924028
6.65919e-07, -0.922281
6.54185e-07, -0.927645
6.42857e-07, -0.925907
6.31915e-07, -0.924527
6.21339e-07, -0.921204
6.11111e-07, -0.920692
6.01215e-07, -0.92073
5.91633e-07, -0.922453
5.82353e-07, -0.922445
5.73359e-07, -0.928357
5.64639e-07, -0.934363
5.5618e-07, -0.936887
5.4797e-07, -0.941999
5.4e-07, -0.947041
5.32258e-07, -0.946349
5.24735e-07, -0.944057
5.17422e-07, -0.942734
5.10309e-07, -0.871516
5.0339e-07, -0.405021
4.96656e-07, -0.107983
4.90099e-07, -0.142155
4.83713e-07, -0.0310632
4.77492e-07, -0.00663297
4.71429e-07, -0.0149916
4.65517e-07, -0.0371888
4.59752e-07, -0.271984
4.54128e-07, -0.224776
4.4864e-07, -0.764967
4.43284e-07, -0.862028
4.38053e-07, -0.865244
4.32945e-07, -0.933513
4.27954e-07, -0.929375
4.23077e-07, -0.942746
4.1831e-07, -0.94296
4.13649e-07, -0.948782
4.09091e-07, -0.949138
4.04632e-07, -0.94235
4.0027e-07, -0.939476
3.96e-07, -0.94042
3.91821e-07, -0.932428
3.87728e-07, -0.927904
3.83721e-07, -0.932421
3.79795e-07, -0.93194
3.75949e-07, -0.92964
3.7218e-07, -0.939422
3.68486e-07, -0.946206
3.64865e-07, -0.943338
3.61314e-07, -0.948804
3.57831e-07, -0.952092
3.54415e-07, -0.929235
3.51064e-07, -0.5214
3.47775e-07, -0.758056
3.44548e-07, -0.525688
3.41379e-07, -0.360089
3.38269e-07, -0.135967
3.35214e-07, -0.261204
3.32215e-07, -0.0796735
3.29268e-07, -0.0734675
3.26374e-07, -0.0383339
3.23529e-07, -0.0384068
3.20734e-07, -0.338959
3.17987e-07, -0.674741
3.15287e-07, -0.889792
3.12632e-07, -0.87169
3.10021e-07, -0.904392
3.07453e-07, -0.957349
3.04928e-07, -0.956177
3.02444e-07, -0.957227
3e-07, -0.958992


