

lambda(m), Y
1.5e-06, -0.573831
1.44175e-06, -0.649327
1.38785e-06, -0.661303
1.33784e-06, -0.623861
1.2913e-06, -0.673375
1.2479e-06, -0.688074
1.20732e-06, -0.672686
1.16929e-06, -0.682395
1.13359e-06, -0.692723
1.1e-06, -0.75811
1.06835e-06, -0.671368
1.03846e-06, -0.728877
1.0102e-06, -0.682136
9.83444e-07, -0.413876
9.58065e-07, -0.0409705
9.33962e-07, -0.0169448
9.11043e-07, -0.0274902
8.89222e-07, -0.0406424
8.68421e-07, -0.0154829
8.48571e-07, -0.141248
8.29609e-07, -0.409879
8.11475e-07, -0.0992061
7.94118e-07, -0.0513713
7.77487e-07, -0.649344
7.61538e-07, -0.209615
7.46231e-07, -0.508656
7.31527e-07, -0.717574
7.17391e-07, -0.725635
7.03791e-07, -0.669648
6.90698e-07, -0.736813
6.78082e-07, -0.674437
6.65919e-07, -0.719163
6.54185e-07, -0.705997
6.42857e-07, -0.716717
6.31915e-07, -0.716626
6.21339e-07, -0.710297
6.11111e-07, -0.735869
6.01215e-07, -0.726663
5.91633e-07, -0.723287
5.82353e-07, -0.735711
5.73359e-07, -0.735372
5.64639e-07, -0.737751
5.5618e-07, -0.737261
5.4797e-07, -0.754761
5.4e-07, -0.741606
5.32258e-07, -0.736461
5.24735e-07, -0.751976
5.17422e-07, -0.70476
5.10309e-07, -0.744843
5.0339e-07, -0.374267
4.96656e-07, -0.080667
4.90099e-07, -0.101628
4.83713e-07, -0.0426516
4.77492e-07, -0.0118359
4.71429e-07, -0.00530036
4.65517e-07, -0.00896259
4.59752e-07, -0.24628
4.54128e-07, -0.188613
4.4864e-07, -0.427265
4.43284e-07, -0.673174
4.38053e-07, -0.709884
4.32945e-07, -0.743058
4.27954e-07, -0.739235
4.23077e-07, -0.722606
4.1831e-07, -0.742534
4.13649e-07, -0.723519
4.09091e-07, -0.732454
4.04632e-07, -0.728837
4.0027e-07, -0.734766
3.96e-07, -0.731488
3.91821e-07, -0.739243
3.87728e-07, -0.732527
3.83721e-07, -0.740696
3.79795e-07, -0.738891
3.75949e-07, -0.740573
3.7218e-07, -0.742746
3.68486e-07, -0.746088
3.64865e-07, -0.741857
3.61314e-07, -0.7366
3.57831e-07, -0.748686
3.54415e-07, -0.741974
3.51064e-07, -0.606511
3.47775e-07, -0.737121
3.44548e-07, -0.421129
3.41379e-07, -0.144718
3.38269e-07, -0.181023
3.35214e-07, -0.345767
3.32215e-07, -0.0923666
3.29268e-07, -0.077053
3.26374e-07, -0.0412796
3.23529e-07, -0.0327847
3.20734e-07, -0.24987
3.17987e-07, -0.55214
3.15287e-07, -0.572352
3.12632e-07, -0.619004
3.10021e-07, -0.686738
3.07453e-07, -0.772216
3.04928e-07, -0.755023
3.02444e-07, -0.760123
3e-07, -0.728732


