

lambda(m), Y
1.5e-06, -0.0111949
1.44175e-06, -0.00648554
1.38785e-06, -0.00482495
1.33784e-06, -0.00435375
1.2913e-06, -0.00911566
1.2479e-06, -0.0437401
1.20732e-06, -0.0628492
1.16929e-06, -0.0345134
1.13359e-06, -0.0372721
1.1e-06, -0.0923772
1.06835e-06, -0.087759
1.03846e-06, -0.0403385
1.0102e-06, -0.0272381
9.83444e-07, -0.0196055
9.58065e-07, -0.00838442
9.33962e-07, -0.00651173
9.11043e-07, -0.00799792
8.89222e-07, -0.0683177
8.68421e-07, -0.11664
8.48571e-07, -0.0765496
8.29609e-07, -0.0780627
8.11475e-07, -0.188485
7.94118e-07, -0.204719
7.77487e-07, -0.114471
7.61538e-07, -0.068604
7.46231e-07, -0.0686657
7.31527e-07, -0.0264079
7.17391e-07, -0.0189124
7.03791e-07, -0.0411882
6.90698e-07, -0.283288
6.78082e-07, -0.351671
6.65919e-07, -0.270096
6.54185e-07, -0.513574
6.42857e-07, -0.623999
6.31915e-07, -0.659431
6.21339e-07, -0.565348
6.11111e-07, -0.581728
6.01215e-07, -0.679222
5.91633e-07, -0.75192
5.82353e-07, -0.737004
5.73359e-07, -0.630403
5.64639e-07, -0.715736
5.5618e-07, -0.831312
5.4797e-07, -0.807092
5.4e-07, -0.625936
5.32258e-07, -0.631532
5.24735e-07, -0.807641
5.17422e-07, -0.77388
5.10309e-07, -0.538354
5.0339e-07, -0.487166
4.96656e-07, -0.5145
4.90099e-07, -0.478412
4.83713e-07, -0.298243
4.77492e-07, -0.181913
4.71429e-07, -0.0844834
4.65517e-07, -0.0382952
4.59752e-07, -0.0232113
4.54128e-07, -0.0228562
4.4864e-07, -0.0871666
4.43284e-07, -0.0961
4.38053e-07, -0.0603399
4.32945e-07, -0.0691902
4.27954e-07, -0.0877625
4.23077e-07, -0.0605028
4.1831e-07, -0.0307897
4.13649e-07, -0.023527
4.09091e-07, -0.0132735
4.04632e-07, -0.00371882
4.0027e-07, -0.00273363
3.96e-07, -0.00507198
3.91821e-07, -0.0125734
3.87728e-07, -0.0148146
3.83721e-07, -0.0113694
3.79795e-07, -0.0171879
3.75949e-07, -0.0203721
3.7218e-07, -0.0135297
3.68486e-07, -0.0104013
3.64865e-07, -0.0100371
3.61314e-07, -0.00686751
3.57831e-07, -0.00432525
3.54415e-07, -0.0040885
3.51064e-07, -0.0048754
3.47775e-07, -0.00372022
3.44548e-07, -0.00414713
3.41379e-07, -0.0126514
3.38269e-07, -0.0170969
3.35214e-07, -0.00911201
3.32215e-07, -0.0141052
3.29268e-07, -0.0186744
3.26374e-07, -0.00989821
3.23529e-07, -0.00854975
3.20734e-07, -0.00919162
3.17987e-07, -0.00363315
3.15287e-07, -0.032369
3.12632e-07, -0.060784
3.10021e-07, -0.0338899
3.07453e-07, -0.14941
3.04928e-07, -0.28108
3.02444e-07, -0.242474
3e-07, -0.230957


