

lambda(m), Y
1.5e-06, -0.0100855
1.44175e-06, -0.00606798
1.38785e-06, -0.00378827
1.33784e-06, -0.0104554
1.2913e-06, -0.0261667
1.2479e-06, -0.0230659
1.20732e-06, -0.0110587
1.16929e-06, -0.0391145
1.13359e-06, -0.0847551
1.1e-06, -0.0884026
1.06835e-06, -0.0508063
1.03846e-06, -0.0176505
1.0102e-06, -0.019255
9.83444e-07, -0.019554
9.58065e-07, -0.00682224
9.33962e-07, -0.00786179
9.11043e-07, -0.0074475
8.89222e-07, -0.0143466
8.68421e-07, -0.0878667
8.48571e-07, -0.156972
8.29609e-07, -0.138546
8.11475e-07, -0.0661671
7.94118e-07, -0.0658225
7.77487e-07, -0.143446
7.61538e-07, -0.140604
7.46231e-07, -0.0586629
7.31527e-07, -0.0245358
7.17391e-07, -0.0113096
7.03791e-07, -0.0814114
6.90698e-07, -0.267632
6.78082e-07, -0.283158
6.65919e-07, -0.189136
6.54185e-07, -0.391369
6.42857e-07, -0.566531
6.31915e-07, -0.55998
6.21339e-07, -0.618042
6.11111e-07, -0.569222
6.01215e-07, -0.560219
5.91633e-07, -0.650756
5.82353e-07, -0.62324
5.73359e-07, -0.699924
5.64639e-07, -0.743114
5.5618e-07, -0.673191
5.4797e-07, -0.633759
5.4e-07, -0.538119
5.32258e-07, -0.743531
5.24735e-07, -0.737197
5.17422e-07, -0.580701
5.10309e-07, -0.543965
5.0339e-07, -0.405548
4.96656e-07, -0.470618
4.90099e-07, -0.411933
4.83713e-07, -0.29901
4.77492e-07, -0.177558
4.71429e-07, -0.0920346
4.65517e-07, -0.0245107
4.59752e-07, -0.02459
4.54128e-07, -0.0415376
4.4864e-07, -0.0272071
4.43284e-07, -0.0376027
4.38053e-07, -0.081005
4.32945e-07, -0.0944234
4.27954e-07, -0.0696444
4.23077e-07, -0.0415115
4.1831e-07, -0.0239447
4.13649e-07, -0.0146649
4.09091e-07, -0.00930079
4.04632e-07, -0.00536816
4.0027e-07, -0.00178196
3.96e-07, -0.00349009
3.91821e-07, -0.00932621
3.87728e-07, -0.0135426
3.83721e-07, -0.0133825
3.79795e-07, -0.0102946
3.75949e-07, -0.00935344
3.7218e-07, -0.0105847
3.68486e-07, -0.00955093
3.64865e-07, -0.00696595
3.61314e-07, -0.00517798
3.57831e-07, -0.00478381
3.54415e-07, -0.00432318
3.51064e-07, -0.00278741
3.47775e-07, -0.0026377
3.44548e-07, -0.00582395
3.41379e-07, -0.00932309
3.38269e-07, -0.00960895
3.35214e-07, -0.00763546
3.32215e-07, -0.00879804
3.29268e-07, -0.0146486
3.26374e-07, -0.0157363
3.23529e-07, -0.00901779
3.20734e-07, -0.010636
3.17987e-07, -0.0194477
3.15287e-07, -0.00831085
3.12632e-07, -0.0321112
3.10021e-07, -0.123068
3.07453e-07, -0.15218
3.04928e-07, -0.111071
3.02444e-07, -0.140485
3e-07, -0.304768


