

lambda(m), Y
1.5e-06, -0.0132155
1.44175e-06, -0.00491142
1.38785e-06, -0.00576798
1.33784e-06, -0.0048726
1.2913e-06, -0.0035275
1.2479e-06, -0.0188179
1.20732e-06, -0.0501887
1.16929e-06, -0.0694695
1.13359e-06, -0.0583995
1.1e-06, -0.0287905
1.06835e-06, -0.0117272
1.03846e-06, -0.0200307
1.0102e-06, -0.0303306
9.83444e-07, -0.0206203
9.58065e-07, -0.0066752
9.33962e-07, -0.0122469
9.11043e-07, -0.0234863
8.89222e-07, -0.0162391
8.68421e-07, -0.0117302
8.48571e-07, -0.0570512
8.29609e-07, -0.129868
8.11475e-07, -0.15832
7.94118e-07, -0.124403
7.77487e-07, -0.0630483
7.61538e-07, -0.0223128
7.46231e-07, -0.0223205
7.31527e-07, -0.0215529
7.17391e-07, -0.0132855
7.03791e-07, -0.0975769
6.90698e-07, -0.208557
6.78082e-07, -0.206687
6.65919e-07, -0.112542
6.54185e-07, -0.207889
6.42857e-07, -0.485523
6.31915e-07, -0.5347
6.21339e-07, -0.534122
6.11111e-07, -0.40992
6.01215e-07, -0.485927
5.91633e-07, -0.514619
5.82353e-07, -0.503875
5.73359e-07, -0.498442
5.64639e-07, -0.40004
5.5618e-07, -0.462002
5.4797e-07, -0.576143
5.4e-07, -0.619606
5.32258e-07, -0.633038
5.24735e-07, -0.588978
5.17422e-07, -0.311891
5.10309e-07, -0.356588
5.0339e-07, -0.303901
4.96656e-07, -0.358394
4.90099e-07, -0.42043
4.83713e-07, -0.28784
4.77492e-07, -0.147897
4.71429e-07, -0.0973085
4.65517e-07, -0.07161
4.59752e-07, -0.0235889
4.54128e-07, -0.0230746
4.4864e-07, -0.0606114
4.43284e-07, -0.0666836
4.38053e-07, -0.0444217
4.32945e-07, -0.0295922
4.27954e-07, -0.0239841
4.23077e-07, -0.0263221
4.1831e-07, -0.0270463
4.13649e-07, -0.0190556
4.09091e-07, -0.0111592
4.04632e-07, -0.00675913
4.0027e-07, -0.00370609
3.96e-07, -0.0019411
3.91821e-07, -0.00435491
3.87728e-07, -0.00903232
3.83721e-07, -0.0113678
3.79795e-07, -0.00989804
3.75949e-07, -0.00705194
3.7218e-07, -0.00485098
3.68486e-07, -0.00407552
3.64865e-07, -0.00397732
3.61314e-07, -0.00392288
3.57831e-07, -0.00326257
3.54415e-07, -0.00231272
3.51064e-07, -0.00290701
3.47775e-07, -0.00514606
3.44548e-07, -0.00742943
3.41379e-07, -0.00883297
3.38269e-07, -0.00772569
3.35214e-07, -0.00563689
3.32215e-07, -0.00842792
3.29268e-07, -0.0156217
3.26374e-07, -0.0192086
3.23529e-07, -0.0135763
3.20734e-07, -0.00627757
3.17987e-07, -0.0143151
3.15287e-07, -0.0354632
3.12632e-07, -0.0429476
3.10021e-07, -0.0281653
3.07453e-07, -0.0275048
3.04928e-07, -0.0983491
3.02444e-07, -0.205391
3e-07, -0.255517


