

lambda(m), Y
1.5e-06, -0.0174041
1.44175e-06, -0.00807407
1.38785e-06, -0.0060887
1.33784e-06, -0.00656653
1.2913e-06, -0.0174626
1.2479e-06, -0.05061
1.20732e-06, -0.032798
1.16929e-06, -0.0677912
1.13359e-06, -0.0931959
1.1e-06, -0.0530524
1.06835e-06, -0.0814328
1.03846e-06, -0.0666245
1.0102e-06, -0.0358541
9.83444e-07, -0.0212366
9.58065e-07, -0.00899792
9.33962e-07, -0.00455955
9.11043e-07, -0.0405194
8.89222e-07, -0.0406742
8.68421e-07, -0.0801591
8.48571e-07, -0.168816
8.29609e-07, -0.109176
8.11475e-07, -0.18502
7.94118e-07, -0.209595
7.77487e-07, -0.120072
7.61538e-07, -0.141927
7.46231e-07, -0.0698746
7.31527e-07, -0.0314264
7.17391e-07, -0.0429307
7.03791e-07, -0.0724466
6.90698e-07, -0.219584
6.78082e-07, -0.414072
6.65919e-07, -0.347696
6.54185e-07, -0.615614
6.42857e-07, -0.643881
6.31915e-07, -0.582801
6.21339e-07, -0.787448
6.11111e-07, -0.777892
6.01215e-07, -0.662848
5.91633e-07, -0.852935
5.82353e-07, -0.881323
5.73359e-07, -0.733432
5.64639e-07, -0.800545
5.5618e-07, -0.799639
5.4797e-07, -0.791329
5.4e-07, -0.895362
5.32258e-07, -0.853756
5.24735e-07, -0.68976
5.17422e-07, -0.809667
5.10309e-07, -0.794981
5.0339e-07, -0.53012
4.96656e-07, -0.622836
4.90099e-07, -0.46659
4.83713e-07, -0.247325
4.77492e-07, -0.219186
4.71429e-07, -0.0781992
4.65517e-07, -0.0358857
4.59752e-07, -0.0344994
4.54128e-07, -0.0296689
4.4864e-07, -0.0981427
4.43284e-07, -0.0997442
4.38053e-07, -0.0719202
4.32945e-07, -0.120865
4.27954e-07, -0.0784559
4.23077e-07, -0.0536954
4.1831e-07, -0.051624
4.13649e-07, -0.0220863
4.09091e-07, -0.0102552
4.04632e-07, -0.00399632
4.0027e-07, -0.00390067
3.96e-07, -0.0125831
3.91821e-07, -0.013668
3.87728e-07, -0.0155753
3.83721e-07, -0.0259561
3.79795e-07, -0.0185639
3.75949e-07, -0.0185509
3.7218e-07, -0.0196692
3.68486e-07, -0.011363
3.64865e-07, -0.0119133
3.61314e-07, -0.0071083
3.57831e-07, -0.00658884
3.54415e-07, -0.00611948
3.51064e-07, -0.00535017
3.47775e-07, -0.00952196
3.44548e-07, -0.0108454
3.41379e-07, -0.011116
3.38269e-07, -0.0234906
3.35214e-07, -0.0123975
3.32215e-07, -0.0205942
3.29268e-07, -0.0154865
3.26374e-07, -0.0105393
3.23529e-07, -0.00990318
3.20734e-07, -0.00701125
3.17987e-07, -0.011758
3.15287e-07, -0.0272634
3.12632e-07, -0.0874458
3.10021e-07, -0.060504
3.07453e-07, -0.254964
3.04928e-07, -0.201226
3.02444e-07, -0.305203
3e-07, -0.435881


