

X, Y
2e-06, 0.00289156
1.997e-06, 0.00291506
1.99401e-06, 0.00293406
1.99104e-06, 0.00294437
1.98807e-06, 0.00294556
1.9851e-06, 0.00294112
1.98215e-06, 0.00293703
1.97921e-06, 0.00293908
1.97627e-06, 0.00295049
1.97335e-06, 0.00297044
1.97043e-06, 0.00299443
1.96752e-06, 0.00301626
1.96462e-06, 0.00303066
1.96173e-06, 0.00303557
1.95884e-06, 0.00303304
1.95597e-06, 0.00302834
1.9531e-06, 0.0030277
1.95024e-06, 0.00303562
1.94739e-06, 0.00305295
1.94455e-06, 0.00307647
1.94172e-06, 0.00310034
1.93889e-06, 0.00311856
1.93608e-06, 0.00312759
1.93327e-06, 0.00312786
1.93047e-06, 0.00312358
1.92768e-06, 0.00312098
1.92489e-06, 0.00312554
1.92212e-06, 0.00313973
1.91935e-06, 0.00316186
1.91659e-06, 0.00318684
1.91383e-06, 0.00320837
1.91109e-06, 0.00322166
1.90835e-06, 0.00322545
1.90562e-06, 0.00322264
1.9029e-06, 0.00321896
1.90019e-06, 0.00322056
1.89748e-06, 0.00323133
1.89479e-06, 0.00325124
1.8921e-06, 0.00327634
1.88941e-06, 0.00330047
1.88674e-06, 0.00331787
1.88407e-06, 0.00332573
1.88141e-06, 0.00332534
1.87876e-06, 0.00332159
1.87611e-06, 0.00332083
1.87348e-06, 0.00332815
1.87085e-06, 0.0033452
1.86822e-06, 0.00336944
1.86561e-06, 0.00339527
1.863e-06, 0.0034164
1.8604e-06, 0.00342859
1.85781e-06, 0.00343146
1.85522e-06, 0.00342868
1.85264e-06, 0.00342637
1.85007e-06, 0.00343048
1.8475e-06, 0.00344422
1.84495e-06, 0.00346669
1.8424e-06, 0.00349322
1.83985e-06, 0.00351744
1.83732e-06, 0.00353397
1.83479e-06, 0.00354075
1.83226e-06, 0.00353996
1.82975e-06, 0.00353706
1.82724e-06, 0.00353843
1.82474e-06, 0.00354868
1.82224e-06, 0.00356858
1.81975e-06, 0.00359479
1.81727e-06, 0.00362127
1.8148e-06, 0.00364186
1.81233e-06, 0.00365296
1.80987e-06, 0.00365507
1.80741e-06, 0.0036526
1.80497e-06, 0.00365195
1.80252e-06, 0.00365877
1.80009e-06, 0.00367552
1.79766e-06, 0.00370041
1.79524e-06, 0.00372817
1.79283e-06, 0.00375228
1.79042e-06, 0.00376784
1.78801e-06, 0.00377362
1.78562e-06, 0.00377264
1.78323e-06, 0.00377084
1.78085e-06, 0.00377457
1.77847e-06, 0.00378781
1.7761e-06, 0.00381047
1.77374e-06, 0.00383845
1.77138e-06, 0.00386533
1.76903e-06, 0.0038852
1.76668e-06, 0.00389519
1.76434e-06, 0.00389668
1.76201e-06, 0.00389475
1.75968e-06, 0.00389597
1.75736e-06, 0.00390561
1.75505e-06, 0.00392531
1.75274e-06, 0.00395243
1.75044e-06, 0.00398113
1.74814e-06, 0.00400491
1.74585e-06, 0.00401939
1.74357e-06, 0.00402421
1.74129e-06, 0.0040232
1.73902e-06, 0.00402272
1.73675e-06, 0.00402893
1.73449e-06, 0.00404515
1.73224e-06, 0.0040704
1.72999e-06, 0.00409984
1.72774e-06, 0.00412684
1.72551e-06, 0.0041458
1.72328e-06, 0.00415463
1.72105e-06, 0.00415559
1.71883e-06, 0.00415437
1.71662e-06, 0.00415761
1.71441e-06, 0.00417009
1.71221e-06, 0.00419262
1.71001e-06, 0.00422172
1.70782e-06, 0.0042511
1.70563e-06, 0.00427436
1.70345e-06, 0.00428775
1.70128e-06, 0.00429178
1.69911e-06, 0.00429102
1.69694e-06, 0.0042921
1.69479e-06, 0.00430091
1.69263e-06, 0.00431999
1.69049e-06, 0.00434749
1.68834e-06, 0.00437793
1.68621e-06, 0.00440456
1.68408e-06, 0.00442228
1.68195e-06, 0.00442981
1.67983e-06, 0.00443032
1.67772e-06, 0.00442998
1.67561e-06, 0.00443541
1.6735e-06, 0.00445075
1.6714e-06, 0.0044759
1.66931e-06, 0.00450657
1.66722e-06, 0.00453608
1.66514e-06, 0.00455827
1.66306e-06, 0.00457011
1.66099e-06, 0.00457305
1.65892e-06, 0.00457239
1.65686e-06, 0.004575
1.6548e-06, 0.00458638
1.65275e-06, 0.00460826
1.6507e-06, 0.0046379
1.64866e-06, 0.0046692
1.64662e-06, 0.00469536
1.64459e-06, 0.00471178
1.64256e-06, 0.00471807
1.64054e-06, 0.00471822
1.63852e-06, 0.00471886
1.63651e-06, 0.00472645
1.63451e-06, 0.0047445
1.6325e-06, 0.004772
1.63051e-06, 0.00480392
1.62851e-06, 0.00483331
1.62653e-06, 0.0048543
1.62454e-06, 0.00486466
1.62256e-06, 0.00486671
1.62059e-06, 0.0048664
1.61862e-06, 0.0048707
1.61666e-06, 0.00488461
1.6147e-06, 0.00490905
1.61275e-06, 0.00494039
1.6108e-06, 0.00497204
1.60885e-06, 0.00499728
1.60691e-06, 0.00501214
1.60498e-06, 0.00501713
1.60305e-06, 0.005017
1.60112e-06, 0.00501874
1.5992e-06, 0.00502857
1.59728e-06, 0.00504922
1.59537e-06, 0.00507881
1.59346e-06, 0.0051116
1.59156e-06, 0.00514047
1.58966e-06, 0.00516
1.58777e-06, 0.00516875
1.58588e-06, 0.00516997
1.58399e-06, 0.00517015
1.58211e-06, 0.00517623
1.58024e-06, 0.00519267
1.57837e-06, 0.00521946
1.5765e-06, 0.00525217
1.57464e-06, 0.0052838
1.57278e-06, 0.00530782
1.57092e-06, 0.00532096
1.56907e-06, 0.00532465
1.56723e-06, 0.00532438
1.56539e-06, 0.00532738
1.56355e-06, 0.00533948
1.56172e-06, 0.00536264
1.55989e-06, 0.00539405
