

lambda(m), Y
1.5121e-06, -0.104759
1.51039e-06, -0.105264
1.50868e-06, -0.105778
1.50697e-06, -0.106303
1.50527e-06, -0.106834
1.50357e-06, -0.107369
1.50188e-06, -0.107903
1.50019e-06, -0.108434
1.4985e-06, -0.108962
1.49682e-06, -0.109487
1.49514e-06, -0.110013
1.49346e-06, -0.110545
1.49179e-06, -0.111084
1.49012e-06, -0.111634
1.48846e-06, -0.112195
1.4868e-06, -0.112763
1.48514e-06, -0.113337
1.48349e-06, -0.113911
1.48184e-06, -0.114482
1.48019e-06, -0.11505
1.47855e-06, -0.115615
1.47691e-06, -0.116181
1.47528e-06, -0.116752
1.47365e-06, -0.11733
1.47202e-06, -0.11792
1.47039e-06, -0.11852
1.46877e-06, -0.11913
1.46716e-06, -0.119746
1.46554e-06, -0.120364
1.46393e-06, -0.12098
1.46233e-06, -0.121593
1.46072e-06, -0.122203
1.45912e-06, -0.122814
1.45753e-06, -0.123428
1.45594e-06, -0.12405
1.45435e-06, -0.124683
1.45276e-06, -0.125328
1.45118e-06, -0.125984
1.4496e-06, -0.126648
1.44803e-06, -0.127314
1.44645e-06, -0.12798
1.44489e-06, -0.128644
1.44332e-06, -0.129304
1.44176e-06, -0.129964
1.4402e-06, -0.130628
1.43865e-06, -0.1313
1.4371e-06, -0.131982
1.43555e-06, -0.132677
1.434e-06, -0.133384
1.43246e-06, -0.1341
1.43092e-06, -0.134821
1.42939e-06, -0.135543
1.42786e-06, -0.136263
1.42633e-06, -0.13698
1.4248e-06, -0.137696
1.42328e-06, -0.138416
1.42176e-06, -0.139143
1.42025e-06, -0.139881
1.41874e-06, -0.140632
1.41723e-06, -0.141396
1.41572e-06, -0.142172
1.41422e-06, -0.142953
1.41272e-06, -0.143737
1.41122e-06, -0.14452
1.40973e-06, -0.145301
1.40824e-06, -0.14608
1.40676e-06, -0.146863
1.40527e-06, -0.147652
1.40379e-06, -0.148453
1.40231e-06, -0.149268
1.40084e-06, -0.150097
1.39937e-06, -0.150938
1.3979e-06, -0.151788
1.39644e-06, -0.152641
1.39498e-06, -0.153495
1.39352e-06, -0.154347
1.39206e-06, -0.155198
1.39061e-06, -0.156052
1.38916e-06, -0.156912
1.38771e-06, -0.157784
1.38627e-06, -0.15867
1.38483e-06, -0.159572
1.38339e-06, -0.160488
1.38196e-06, -0.161414
1.38052e-06, -0.162346
1.3791e-06, -0.163279
1.37767e-06, -0.164212
1.37625e-06, -0.165144
1.37483e-06, -0.166078
1.37341e-06, -0.167019
1.372e-06, -0.167971
1.37059e-06, -0.168938
1.36918e-06, -0.169922
1.36777e-06, -0.170922
1.36637e-06, -0.171935
1.36497e-06, -0.172955
1.36357e-06, -0.173978
1.36218e-06, -0.175002
1.36079e-06, -0.176026
1.3594e-06, -0.177052
1.35802e-06, -0.178084
1.35663e-06, -0.179127
1.35525e-06, -0.180186
1.35388e-06, -0.181264
1.3525e-06, -0.182359
1.35113e-06, -0.183468
1.34976e-06, -0.184588
1.3484e-06, -0.185714
1.34704e-06, -0.186841
1.34567e-06, -0.187968
1.34432e-06, -0.189098
1.34296e-06, -0.190234
1.34161e-06, -0.191382
1.34026e-06, -0.192545
1.33891e-06, -0.193729
1.33757e-06, -0.194931
1.33623e-06, -0.196151
1.33489e-06, -0.197384
1.33356e-06, -0.198625
1.33222e-06, -0.199869
1.33089e-06, -0.201115
1.32956e-06, -0.202363
1.32824e-06, -0.203618
1.32692e-06, -0.204884
1.3256e-06, -0.206168
1.32428e-06, -0.207471
1.32296e-06, -0.208797
1.32165e-06, -0.210142
1.32034e-06, -0.211504
1.31904e-06, -0.212875
1.31773e-06, -0.214253
1.31643e-06, -0.215633
1.31513e-06, -0.217017
1.31384e-06, -0.218407
1.31254e-06, -0.21981
1.31125e-06, -0.221229
1.30996e-06, -0.222671
1.30867e-06, -0.224137
1.30739e-06, -0.225625
1.30611e-06, -0.227133
1.30483e-06, -0.228654
1.30355e-06, -0.230183
1.30228e-06, -0.231717
1.30101e-06, -0.233256
1.29974e-06, -0.234802
1.29847e-06, -0.23636
1.29721e-06, -0.237937
1.29595e-06, -0.239537
1.29469e-06, -0.241163
1.29343e-06, -0.242815
1.29218e-06, -0.244489
1.29093e-06, -0.24618
1.28968e-06, -0.247883
1.28843e-06, -0.249594
1.28719e-06, -0.25131
1.28594e-06, -0.253035
1.2847e-06, -0.254773
1.28347e-06, -0.256529
1.28223e-06, -0.258311
1.281e-06, -0.260121
1.27977e-06, -0.261961
1.27854e-06, -0.263826
1.27732e-06, -0.265713
1.27609e-06, -0.267615
1.27487e-06, -0.269528
1.27365e-06, -0.271449
1.27244e-06, -0.273379
1.27122e-06, -0.275323
1.27001e-06, -0.277288
1.2688e-06, -0.279279
1.2676e-06, -0.281301
1.26639e-06, -0.283356
1.26519e-06, -0.285441
1.26399e-06, -0.287552
1.26279e-06, -0.289683
1.2616e-06, -0.291828
1.2604e-06, -0.293984
1.25921e-06, -0.296152
1.25802e-06, -0.298334
1.25684e-06, -0.300539
1.25565e-06, -0.302771
1.25447e-06, -0.305038
1.25329e-06, -0.307341
1.25211e-06, -0.309679
1.25094e-06, -0.312049
1.24977e-06, -0.314443
1.24859e-06, -0.316855
1.24743e-06, -0.319282
1.24626e-06, -0.321723
1.24509e-06, -0.324181
1.24393e-06, -0.326662
1.24277e-06, -0.329174
1.24161e-06, -0.331723
1.24046e-06, -0.334312
1.23931e-06, -0.336942
1.23815e-06, -0.339608
1.237e-06, -0.342305
1.23586e-06, -0.345025
1.23471e-06, -0.347764
1.23357e-06, -0.35052
1.23243e-06, -0.353296
1.23129e-06, -0.356097
1.23015e-06, -0.358931
1.22902e-06, -0.361805
1.22789e-06, -0.364724
1.22676e-06, -0.367689
1.22563e-06, -0.370697
1.2245e-06, -0.373741
1.22338e-06, -0.376815
1.22226e-06, -0.379913
1.22114e-06, -0.383032
1.22002e-06, -0.386174
1.2189e-06, -0.389343
1.21779e-06, -0.392547
1.21668e-06, -0.395795
1.21557e-06, -0.399092
1.21446e-06, -0.402441
1.21335e-06, -0.405839
1.21225e-06, -0.409281
1.21115e-06, -0.41276
1.21005e-06, -0.416268
1.20895e-06, -0.419802
1.20785e-06, -0.423361
1.20676e-06, -0.426951
1.20567e-06, -0.430579
1.20458e-06, -0.434254
1.20349e-06, -0.437982
1.20241e-06, -0.441767
1.20132e-06, -0.445608
1.20024e-06, -0.449501
1.19916e-06, -0.453437
1.19808e-06, -0.457409
1.19701e-06, -0.461412
1.19593e-06, -0.465444
1.19486e-06, -0.469509
1.19379e-06, -0.473614
1.19272e-06, -0.477769
1.19165e-06, -0.48198
1.19059e-06, -0.486254
1.18953e-06, -0.49059
1.18847e-06, -0.494985
1.18741e-06, -0.49943
1.18635e-06, -0.503917
1.18529e-06, -0.50844
1.18424e-06, -0.512996
1.18319e-06, -0.517586
1.18214e-06, -0.522217
1.18109e-06, -0.526899
1.18005e-06, -0.53164
1.179e-06, -0.536447
1.17796e-06, -0.54132
1.17692e-06, -0.546258
1.17588e-06, -0.551253
1.17485e-06, -0.556295
1.17381e-06, -0.561375
1.17278e-06, -0.56649
1.17175e-06, -0.571639
1.17072e-06, -0.576829
1.16969e-06, -0.582066
1.16866e-06, -0.587362
1.16764e-06, -0.592724
1.16662e-06, -0.598154
1.1656e-06, -0.60365
1.16458e-06, -0.609206
1.16356e-06, -0.614811
1.16255e-06, -0.620455
1.16153e-06, -0.626131
1.16052e-06, -0.631838
1.15951e-06, -0.637578
1.1585e-06, -0.643359
1.1575e-06, -0.649191
1.15649e-06, -0.655083
1.15549e-06, -0.661038
1.15449e-06, -0.667056
1.15349e-06, -0.67313
1.15249e-06, -0.679247
1.1515e-06, -0.685398
1.1505e-06, -0.691572
1.14951e-06, -0.697764
1.14852e-06, -0.703975
1.14753e-06, -0.710211
1.14654e-06, -0.716481
1.14556e-06, -0.722794
1.14457e-06, -0.729154
1.14359e-06, -0.735562
1.14261e-06, -0.74201
1.14163e-06, -0.748488
1.14066e-06, -0.75498
1.13968e-06, -0.761476
1.13871e-06, -0.767965
1.13773e-06, -0.774445
1.13676e-06, -0.780919
1.1358e-06, -0.787395
1.13483e-06, -0.793882
1.13386e-06, -0.800383
1.1329e-06, -0.8069
1.13194e-06, -0.813427
1.13098e-06, -0.81995
1.13002e-06, -0.826454
1.12906e-06, -0.832923
1.1281e-06, -0.839344
1.12715e-06, -0.845709
1.1262e-06, -0.852019
1.12525e-06, -0.858278
1.1243e-06, -0.864493
1.12335e-06, -0.870669
1.1224e-06, -0.876808
1.12146e-06, -0.882903
1.12052e-06, -0.888941
1.11957e-06, -0.894906
1.11863e-06, -0.900776
1.1177e-06, -0.906536
1.11676e-06, -0.912174
1.11582e-06, -0.917685
1.11489e-06, -0.923071
1.11396e-06, -0.928337
1.11303e-06, -0.933487
1.1121e-06, -0.938525
1.11117e-06, -0.943446
1.11025e-06, -0.948236
1.10932e-06, -0.952879
1.1084e-06, -0.957354
1.10748e-06, -0.96164
1.10656e-06, -0.965722
1.10564e-06, -0.969591
1.10473e-06, -0.973247
1.10381e-06, -0.976694
1.1029e-06, -0.979938
1.10198e-06, -0.982983
1.10107e-06, -0.985828
1.10017e-06, -0.988464
1.09926e-06, -0.990875
1.09835e-06, -0.993043
1.09745e-06, -0.994945
1.09654e-06, -0.996567
1.09564e-06, -0.997898
1.09474e-06, -0.998936
1.09384e-06, -0.999686
1.09295e-06, -1.00016
1.09205e-06, -1.00036
1.09116e-06, -1.0003
1.09026e-06, -0.999964
1.08937e-06, -0.999356
1.08848e-06, -0.998456
1.0876e-06, -0.997248
1.08671e-06, -0.995717
1.08582e-06, -0.993854
1.08494e-06, -0.991661
1.08406e-06, -0.989143
1.08318e-06, -0.986316
1.0823e-06, -0.983193
1.08142e-06, -0.979787
1.08054e-06, -0.976106
1.07967e-06, -0.972149
1.07879e-06, -0.967908
1.07792e-06, -0.963374
1.07705e-06, -0.958536
1.07618e-06, -0.953389
1.07531e-06, -0.947935
1.07444e-06, -0.942185
1.07358e-06, -0.936157
1.07271e-06, -0.929871
1.07185e-06, -0.923347
1.07099e-06, -0.9166
1.07013e-06, -0.909639
1.06927e-06, -0.902464
1.06841e-06, -0.895071
1.06756e-06, -0.887453
1.0667e-06, -0.879609
1.06585e-06, -0.871541
1.065e-06, -0.86326
1.06415e-06, -0.854785
1.0633e-06, -0.846138
1.06245e-06, -0.837345
1.0616e-06, -0.828424
1.06076e-06, -0.819389
1.05992e-06, -0.810247
1.05907e-06, -0.800996
1.05823e-06, -0.791632
1.05739e-06, -0.782152
1.05655e-06, -0.772556
1.05572e-06, -0.762855
1.05488e-06, -0.753062
1.05405e-06, -0.743199
1.05321e-06, -0.73329
1.05238e-06, -0.723355
1.05155e-06, -0.713409
1.05072e-06, -0.703461
1.04989e-06, -0.69351
1.04907e-06, -0.683551
1.04824e-06, -0.673579
1.04742e-06, -0.663591
1.0466e-06, -0.65359
1.04578e-06, -0.643587
1.04496e-06, -0.633598
1.04414e-06, -0.623643
1.04332e-06, -0.61374
1.0425e-06, -0.603904
1.04169e-06, -0.594143
1.04087e-06, -0.584456
1.04006e-06, -0.574837
1.03925e-06, -0.565278
1.03844e-06, -0.555772
1.03763e-06, -0.546317
1.03683e-06, -0.536916
1.03602e-06, -0.527583
1.03521e-06, -0.51833
1.03441e-06, -0.509175
1.03361e-06, -0.500131
1.03281e-06, -0.491204
1.03201e-06, -0.482393
1.03121e-06, -0.473692
1.03041e-06, -0.46509
1.02962e-06, -0.456578
1.02882e-06, -0.448149
1.02803e-06, -0.439802
1.02724e-06, -0.431545
1.02644e-06, -0.423388
1.02565e-06, -0.415344
1.02487e-06, -0.407426
1.02408e-06, -0.399638
1.02329e-06, -0.391982
1.02251e-06, -0.38445
1.02172e-06, -0.377032
1.02094e-06, -0.369715
1.02016e-06, -0.362491
1.01938e-06, -0.355355
1.0186e-06, -0.348311
1.01782e-06, -0.341366
1.01704e-06, -0.334532
1.01627e-06, -0.32782
1.01549e-06, -0.321235
1.01472e-06, -0.314778
1.01395e-06, -0.308443
1.01318e-06, -0.30222
1.01241e-06, -0.296096
1.01164e-06, -0.290061
1.01087e-06, -0.284108
1.01011e-06, -0.278239
1.00934e-06, -0.272458
1.00858e-06, -0.266775
1.00781e-06, -0.2612
1.00705e-06, -0.25574
1.00629e-06, -0.250396
1.00553e-06, -0.245164
1.00478e-06, -0.240034
1.00402e-06, -0.234994
1.00326e-06, -0.230033
1.00251e-06, -0.225143
1.00175e-06, -0.220323
1.001e-06, -0.215577
1.00025e-06, -0.210913
9.995e-07, -0.20634
9.98751e-07, -0.201867
9.98003e-07, -0.197495
9.97256e-07, -0.193221
9.9651e-07, -0.189038
