

lambda(m), Y
1.5e-06, -0.73692
1.44175e-06, -0.724772
1.38785e-06, -0.708528
1.33784e-06, -0.687486
1.2913e-06, -0.660733
1.2479e-06, -0.627148
1.20732e-06, -0.585414
1.16929e-06, -0.534093
1.13359e-06, -0.471829
1.1e-06, -0.397828
1.06835e-06, -0.312797
1.03846e-06, -0.220439
1.0102e-06, -0.129184
9.83444e-07, -0.0527581
9.58065e-07, -0.00734004
9.33962e-07, -0.00468599
9.11043e-07, -0.0454584
8.89222e-07, -0.118931
8.68421e-07, -0.209262
8.48571e-07, -0.302402
8.29609e-07, -0.389286
8.11475e-07, -0.465599
7.94118e-07, -0.530204
7.77487e-07, -0.583667
7.61538e-07, -0.627284
7.46231e-07, -0.662536
7.31527e-07, -0.690829
7.17391e-07, -0.713378
7.03791e-07, -0.731178
6.90698e-07, -0.745012
6.78082e-07, -0.755471
6.65919e-07, -0.76299
6.54185e-07, -0.767881
6.42857e-07, -0.770356
6.31915e-07, -0.770567
6.21339e-07, -0.76856
6.11111e-07, -0.764379
6.01215e-07, -0.757924
5.91633e-07, -0.749043
5.82353e-07, -0.737441
5.73359e-07, -0.722677
5.64639e-07, -0.704146
5.5618e-07, -0.681046
5.4797e-07, -0.652354
5.4e-07, -0.616871
5.32258e-07, -0.573189
5.24735e-07, -0.519845
5.17422e-07, -0.455496
5.10309e-07, -0.379556
5.0339e-07, -0.293154
4.96656e-07, -0.200739
4.90099e-07, -0.11173
4.83713e-07, -0.0405814
4.77492e-07, -0.00310022
4.71429e-07, -0.00915504
4.65517e-07, -0.0569073
4.59752e-07, -0.134105
4.54128e-07, -0.22501
4.4864e-07, -0.31668
4.43284e-07, -0.401226
4.38053e-07, -0.475098
4.32945e-07, -0.537517
4.27954e-07, -0.589128
4.23077e-07, -0.631182
4.1831e-07, -0.665106
4.13649e-07, -0.692254
4.09091e-07, -0.713808
4.04632e-07, -0.730751
4.0027e-07, -0.743828
3.96e-07, -0.753557
3.91821e-07, -0.760277
3.87728e-07, -0.764172
3.83721e-07, -0.765337
3.79795e-07, -0.763794
3.75949e-07, -0.759559
3.7218e-07, -0.752627
3.68486e-07, -0.742964
3.64865e-07, -0.730462
3.61314e-07, -0.714871
3.57831e-07, -0.695746
3.54415e-07, -0.672384
3.51064e-07, -0.643783
3.47775e-07, -0.608673
3.44548e-07, -0.565604
3.41379e-07, -0.513109
3.38269e-07, -0.450031
3.35214e-07, -0.376038
3.32215e-07, -0.292442
3.29268e-07, -0.203383
3.26374e-07, -0.117097
3.23529e-07, -0.046251
3.20734e-07, -0.0054803
3.17987e-07, -0.00537489
3.15287e-07, -0.0462897
3.12632e-07, -0.117811
3.10021e-07, -0.204747
3.07453e-07, -0.293949
3.04928e-07, -0.377316
3.02444e-07, -0.451237
3e-07, -0.514832


