

lambda(m), Y
1.5e-06, -0.970815
1.44175e-06, -0.979745
1.38785e-06, -0.985203
1.33784e-06, -0.989023
1.2913e-06, -0.991996
1.2479e-06, -0.994414
1.20732e-06, -0.996347
1.16929e-06, -0.997754
1.13359e-06, -0.998463
1.1e-06, -0.997878
1.06835e-06, -0.993493
1.03846e-06, -0.971674
1.0102e-06, -0.831443
9.83444e-07, -0.200081
9.58065e-07, -0.000975369
9.33962e-07, -0.00665947
9.11043e-07, -0.0523059
8.89222e-07, -0.0184595
8.68421e-07, -0.0574017
8.48571e-07, -0.281538
8.29609e-07, -0.314117
8.11475e-07, -0.0349993
7.94118e-07, -0.370287
7.77487e-07, -0.673989
7.61538e-07, -0.203397
7.46231e-07, -0.876383
7.31527e-07, -0.994238
7.17391e-07, -1.00092
7.03791e-07, -1.00059
6.90698e-07, -0.999525
6.78082e-07, -0.998433
6.65919e-07, -0.997366
6.54185e-07, -0.996285
6.42857e-07, -0.995176
6.31915e-07, -0.994076
6.21339e-07, -0.993018
6.11111e-07, -0.992115
6.01215e-07, -0.991425
5.91633e-07, -0.991056
5.82353e-07, -0.991059
5.73359e-07, -0.991461
5.64639e-07, -0.992247
5.5618e-07, -0.993372
5.4797e-07, -0.994714
5.4e-07, -0.996162
5.32258e-07, -0.997534
5.24735e-07, -0.998324
5.17422e-07, -0.995213
5.10309e-07, -0.943926
5.0339e-07, -0.0812172
4.96656e-07, -0.259742
4.90099e-07, -0.0917887
4.83713e-07, -0.000787289
4.77492e-07, -0.00242846
4.71429e-07, -0.00769937
4.65517e-07, -0.00219455
4.59752e-07, -0.098497
4.54128e-07, -0.297959
4.4864e-07, -0.0391701
4.43284e-07, -0.933774
4.38053e-07, -0.996191
4.32945e-07, -1.00349
4.27954e-07, -1.00522
4.23077e-07, -1.00536
4.1831e-07, -1.00482
4.13649e-07, -1.00406
4.09091e-07, -1.0033
4.04632e-07, -1.00274
4.0027e-07, -1.00237
3.96e-07, -1.00216
3.91821e-07, -1.00192
3.87728e-07, -1.00144
3.83721e-07, -1.00057
3.79795e-07, -0.999144
3.75949e-07, -0.997196
3.7218e-07, -0.994873
3.68486e-07, -0.992452
3.64865e-07, -0.990294
3.61314e-07, -0.98877
3.57831e-07, -0.988082
3.54415e-07, -0.987712
3.51064e-07, -0.980418
3.47775e-07, -0.742833
3.44548e-07, -0.51807
3.41379e-07, -0.593585
3.38269e-07, -0.125718
3.35214e-07, -0.12909
3.32215e-07, -0.284521
3.29268e-07, -0.145361
3.26374e-07, -0.00204626
3.23529e-07, -0.0264717
3.20734e-07, -0.00818144
3.17987e-07, -0.00341323
3.15287e-07, -0.0494969
3.12632e-07, -0.720592
3.10021e-07, -0.946566
3.07453e-07, -0.980113
3.04928e-07, -0.990897
3.02444e-07, -0.998062
3e-07, -1.00389


