

lambda(m), Y
1.5e-06, -0.9708
1.44175e-06, -0.978743
1.38785e-06, -0.98382
1.33784e-06, -0.987483
1.2913e-06, -0.990325
1.2479e-06, -0.99251
1.20732e-06, -0.993979
1.16929e-06, -0.994477
1.13359e-06, -0.993359
1.1e-06, -0.98879
1.06835e-06, -0.974662
1.03846e-06, -0.926797
1.0102e-06, -0.741006
9.83444e-07, -0.246318
9.58065e-07, -0.00552123
9.33962e-07, -0.000661358
9.11043e-07, -0.0408793
8.89222e-07, -0.133925
8.68421e-07, -0.139682
8.48571e-07, -0.024047
8.29609e-07, -0.105676
8.11475e-07, -0.425377
7.94118e-07, -0.560889
7.77487e-07, -0.33843
7.61538e-07, -0.379226
7.46231e-07, -0.921854
7.31527e-07, -0.988643
7.17391e-07, -0.997936
7.03791e-07, -0.999169
6.90698e-07, -0.998782
6.78082e-07, -0.998012
6.65919e-07, -0.9971
6.54185e-07, -0.996095
6.42857e-07, -0.995025
6.31915e-07, -0.993949
6.21339e-07, -0.992899
6.11111e-07, -0.992008
6.01215e-07, -0.99132
5.91633e-07, -0.990938
5.82353e-07, -0.990932
5.73359e-07, -0.991314
5.64639e-07, -0.992059
5.5618e-07, -0.993075
5.4797e-07, -0.994232
5.4e-07, -0.995298
5.32258e-07, -0.995748
5.24735e-07, -0.993954
5.17422e-07, -0.982591
5.10309e-07, -0.912655
5.0339e-07, -0.420081
4.96656e-07, -0.0299295
4.90099e-07, -0.118563
4.83713e-07, -0.0372642
4.77492e-07, -0.000455112
4.71429e-07, -0.00104075
4.65517e-07, -0.0497547
4.59752e-07, -0.146224
4.54128e-07, -0.0488687
4.4864e-07, -0.39054
4.43284e-07, -0.906618
4.38053e-07, -0.983785
4.32945e-07, -0.999162
4.27954e-07, -1.00342
4.23077e-07, -1.00448
4.1831e-07, -1.00435
4.13649e-07, -1.00376
4.09091e-07, -1.00311
4.04632e-07, -1.00259
4.0027e-07, -1.00226
3.96e-07, -1.00206
3.91821e-07, -1.00183
3.87728e-07, -1.00136
3.83721e-07, -1.00047
3.79795e-07, -0.999043
3.75949e-07, -0.997058
3.7218e-07, -0.994683
3.68486e-07, -0.992174
3.64865e-07, -0.989828
3.61314e-07, -0.987911
3.57831e-07, -0.986304
3.54415e-07, -0.983446
3.51064e-07, -0.96983
3.47775e-07, -0.857716
3.44548e-07, -0.0265849
3.41379e-07, -0.437389
3.38269e-07, -0.489949
3.35214e-07, -0.263547
3.32215e-07, -0.0118833
3.29268e-07, -0.0567504
3.26374e-07, -0.107095
3.23529e-07, -0.050938
3.20734e-07, -0.0024381
3.17987e-07, -0.000477817
3.15287e-07, -0.132057
3.12632e-07, -0.645118
3.10021e-07, -0.893274
3.07453e-07, -0.958383
3.04928e-07, -0.980923
3.02444e-07, -0.992665
3e-07, -1.00055


