

lambda(m), Y
1.5e-06, -0.928644
1.44175e-06, -0.932987
1.38785e-06, -0.935046
1.33784e-06, -0.934771
1.2913e-06, -0.931722
1.2479e-06, -0.925015
1.20732e-06, -0.913125
1.16929e-06, -0.893461
1.13359e-06, -0.861509
1.1e-06, -0.809316
1.06835e-06, -0.723329
1.03846e-06, -0.58415
1.0102e-06, -0.38042
9.83444e-07, -0.154992
9.58065e-07, -0.0176356
9.33962e-07, -0.00828816
9.11043e-07, -0.049817
8.89222e-07, -0.0706633
8.68421e-07, -0.0486199
8.48571e-07, -0.00693816
8.29609e-07, -0.0307955
8.11475e-07, -0.20811
7.94118e-07, -0.46634
7.77487e-07, -0.673605
7.61538e-07, -0.801147
7.46231e-07, -0.873618
7.31527e-07, -0.91485
7.17391e-07, -0.938977
7.03791e-07, -0.953554
6.90698e-07, -0.962589
6.78082e-07, -0.968253
6.65919e-07, -0.971758
6.54185e-07, -0.973796
6.42857e-07, -0.974786
6.31915e-07, -0.975011
6.21339e-07, -0.974635
6.11111e-07, -0.973838
6.01215e-07, -0.972684
5.91633e-07, -0.971225
5.82353e-07, -0.96939
5.73359e-07, -0.966989
5.64639e-07, -0.963611
5.5618e-07, -0.958582
5.4797e-07, -0.950715
5.4e-07, -0.938038
5.32258e-07, -0.917099
5.24735e-07, -0.881586
5.17422e-07, -0.819993
5.10309e-07, -0.712825
5.0339e-07, -0.537334
4.96656e-07, -0.303457
4.90099e-07, -0.101798
4.83713e-07, -0.013618
4.77492e-07, -0.000133075
4.71429e-07, -0.000260488
4.65517e-07, -0.0176195
4.59752e-07, -0.11626
4.54128e-07, -0.32454
4.4864e-07, -0.554591
4.43284e-07, -0.724606
4.38053e-07, -0.829309
4.32945e-07, -0.890572
4.27954e-07, -0.92652
4.23077e-07, -0.947988
4.1831e-07, -0.96105
4.13649e-07, -0.96918
4.09091e-07, -0.974386
4.04632e-07, -0.977829
4.0027e-07, -0.980157
3.96e-07, -0.981651
3.91821e-07, -0.982361
3.87728e-07, -0.982191
3.83721e-07, -0.98101
3.79795e-07, -0.978677
3.75949e-07, -0.975096
3.7218e-07, -0.970229
3.68486e-07, -0.964022
3.64865e-07, -0.956264
3.61314e-07, -0.946379
3.57831e-07, -0.933026
3.54415e-07, -0.913381
3.51064e-07, -0.881859
3.47775e-07, -0.827752
3.44548e-07, -0.731753
3.41379e-07, -0.566652
3.38269e-07, -0.32671
3.35214e-07, -0.0981267
3.32215e-07, -0.00306755
3.29268e-07, -0.0161053
3.26374e-07, -0.0418304
3.23529e-07, -0.0358106
3.20734e-07, -0.0069163
3.17987e-07, -0.0124871
3.15287e-07, -0.127961
3.12632e-07, -0.33845
3.10021e-07, -0.5444
3.07453e-07, -0.693162
3.04928e-07, -0.789692
3.02444e-07, -0.851737
3e-07, -0.892438


