

lambda(m), Y
1.5e-06, -0.970815
1.44175e-06, -0.979745
1.38785e-06, -0.985203
1.33784e-06, -0.989023
1.2913e-06, -0.991996
1.2479e-06, -0.994414
1.20732e-06, -0.996347
1.16929e-06, -0.997754
1.13359e-06, -0.998463
1.1e-06, -0.997878
1.06835e-06, -0.993493
1.03846e-06, -0.971674
1.0102e-06, -0.831443
9.83444e-07, -0.200081
9.58065e-07, -0.000975369
